    CHAR_BIT:                    8 (N/A)
    CHAR_MIN:                 -128 (1 byte)
    CHAR_MAX:                  127 (1 byte)
   SCHAR_MIN:                 -128 (1 byte)
   SCHAR_MAX:                  127 (1 byte)
   UCHAR_MAX:                  255 (1 byte)

    SHRT_MIN:               -32768 (2 bytes)
    SHRT_MAX:                32767 (2 bytes)
   USHRT_MAX:                65535 (2 bytes)

     INT_MIN:          -2147483648 (4 bytes)
     INT_MAX:           2147483647 (4 bytes)
    UINT_MAX:           4294967295 (4 bytes)

    LONG_MIN:          -2147483648 (4 bytes)
    LONG_MAX:           2147483647 (4 bytes)
   ULONG_MAX:           4294967295 (4 bytes)

 FLT_EPSILON:          1.19209e-07 (N/A)
     FLT_MIN:          1.17549e-38 (4 bytes)
     FLT_MAX:          3.40282e+38 (4 bytes)

 DBL_EPSILON:          2.22045e-16 (N/A)
     DBL_MIN:         2.22507e-308 (8 bytes)
     DBL_MAX:         1.79769e+308 (8 bytes)

